[ProcessID:0x00001DF8 | ThreadID:0x00001EE0][Time:9348157] 

[ProcessID:0x00001DF8 | ThreadID:0x00001EE0][Time:9348157] --------------------------------------------------------------
[ProcessID:0x00001DF8 | ThreadID:0x00001EE0][Time:9348157] [2013-2-16		12:32:56]
[ProcessID:0x00001DF8 | ThreadID:0x00001EE0][Time:9348157] --------------------------------------------------------------
[ProcessID:0x00001DF8 | ThreadID:0x00001EE0][Time:9348157] Enter->main
[ProcessID:0x00001DF8 | ThreadID:0x00001EE0][Time:9348157] use global log output
[ProcessID:0x00001DF8 | ThreadID:0x00001EE0][Time:9348157] Enter-->Function
[ProcessID:0x00001DF8 | ThreadID:0x00001EE0][Time:9348157] Function | a = 0x6, b = 0xA
[ProcessID:0x00001DF8 | ThreadID:0x00001EE0][Time:9348157] Leave-->Function
[ProcessID:0x00001DF8 | ThreadID:0x00001EE0][Time:9348157] Main Function i=5
[ProcessID:0x00001DF8 | ThreadID:0x00001EE0][Time:9348157] Main Function i=15
[ProcessID:0x00001DF8 | ThreadID:0x00001EE0][Time:9348157] Main Function i=25
[ProcessID:0x00001DF8 | ThreadID:0x00001EE0][Time:9348157] Main Function i=35
[ProcessID:0x00001DF8 | ThreadID:0x00001EE0][Time:9348157] Main Function i=45
[ProcessID:0x00001DF8 | ThreadID:0x00001EE0][Time:9348157] Main Function i=55
[ProcessID:0x00001DF8 | ThreadID:0x00001EE0][Time:9348157] Main Function i=65
[ProcessID:0x00001DF8 | ThreadID:0x00001EE0][Time:9348157] Main Function i=75
[ProcessID:0x00001DF8 | ThreadID:0x00000120][Time:9348157] Enter-->ThreadFunc
[ProcessID:0x00001DF8 | ThreadID:0x00001EE0][Time:9348157] Main Function i=95
[ProcessID:0x00001DF8 | ThreadID:0x00001EE0][Time:9348157] Main Function i=105
[ProcessID:0x00001DF8 | ThreadID:0x00001EE0][Time:9348157] Main Function i=115
[ProcessID:0x00001DF8 | ThreadID:0x00001EE0][Time:9348157] Main Function i=125
[ProcessID:0x00001DF8 | ThreadID:0x00001EE0][Time:9348157] Main Function i=135
[ProcessID:0x00001DF8 | ThreadID:0x00001EE0][Time:9348157] Main Function i=145
[ProcessID:0x00001DF8 | ThreadID:0x00001EE0][Time:9348157] Main Function i=155
[ProcessID:0x00001DF8 | ThreadID:0x00001EE0][Time:9348157] Main Function i=165
[ProcessID:0x00001DF8 | ThreadID:0x00001EE0][Time:9348157] Main Function i=175
[ProcessID:0x00001DF8 | ThreadID:0x00001EE0][Time:9348157] Main Function i=185
[ProcessID:0x00001DF8 | ThreadID:0x00001EE0][Time:9348157] Main Function i=195
[ProcessID:0x00001DF8 | ThreadID:0x00000120][Time:9348157] Thread Function i=5
[ProcessID:0x00001DF8 | ThreadID:0x00000120][Time:9348157] Thread Function i=10
[ProcessID:0x00001DF8 | ThreadID:0x00000120][Time:9348172] Thread Function i=15
[ProcessID:0x00001DF8 | ThreadID:0x00000120][Time:9348172] Thread Function i=20
[ProcessID:0x00001DF8 | ThreadID:0x00000120][Time:9348172] Thread Function i=25
[ProcessID:0x00001DF8 | ThreadID:0x00000120][Time:9348188] Thread Function i=30
[ProcessID:0x00001DF8 | ThreadID:0x00000120][Time:9348188] Thread Function i=35
[ProcessID:0x00001DF8 | ThreadID:0x00000120][Time:9348219] Thread Function i=40
[ProcessID:0x00001DF8 | ThreadID:0x00000120][Time:9348281] Thread Function i=45
[ProcessID:0x00001DF8 | ThreadID:0x00000120][Time:9348281] Thread Function i=50
[ProcessID:0x00001DF8 | ThreadID:0x00000120][Time:9348297] Thread Function i=55
[ProcessID:0x00001DF8 | ThreadID:0x00000120][Time:9348297] Thread Function i=60
[ProcessID:0x00001DF8 | ThreadID:0x00000120][Time:9348297] Thread Function i=65
[ProcessID:0x00001DF8 | ThreadID:0x00000120][Time:9348313] Thread Function i=70
[ProcessID:0x00001DF8 | ThreadID:0x00000120][Time:9348313] Thread Function i=75
[ProcessID:0x00001DF8 | ThreadID:0x00000120][Time:9348344] Leave-->ThreadFunc
[ProcessID:0x00001DF8 | ThreadID:0x00001EE0][Time:9351401] Leave->main
